,module_id,joined_the_module,campus_name,graph,module_name
0,100256,2023-03,dakar,"{""innerCircle"": [{""id"": ""46rz6mm83oy"", ""name"": {""text"": ""Imperative"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""9pxhnev6irl"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [""go-reloaded"", {""ascii-art"": [""color"", ""output"", ""fs"", ""justify"", ""reverse""]}, {""ascii-art-web"": [""stylize"", ""dockerize"", ""exportfile""]}, {""groupie-tracker"": [""filters"", ""geolocalization"", ""visualizations"", ""search-bar""]}, ""lem-in"", {""forum"": [""authentication"", ""image-upload"", ""security"", ""moderation"", ""advanced-features""]}]}, ""outerArcs"": [{""id"": ""5kru6blne3y"", ""name"": {""text"": ""Outer arc #1"", ""hidden"": true}, ""contents"": [""git"", ""tetris-optimizer"", ""atm-management-system"", ""push-swap"", ""my-ls-1"", ""net-cat""]}]}, {""id"": ""w0feu5prgf"", ""name"": {""text"": ""AdminSys"", ""hidden"": false}, ""type"": ""line"", ""contents"": [""linux"", ""login"", ""add-vm"", ""connect"", ""remote"", ""scan""]}, {""id"": ""0x46yj76exeg"", ""name"": {""text"": ""Full-Stack"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""hgigmuhmj1v"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [{""make-your-game"": [""score-handling"", ""history"", ""different-maps""]}, {""real-time-forum"": [""typing-in-progress""]}, ""graphql"", {""social-network"": [""cross-platform-appimage""]}, ""mini-framework"", ""bomberman-dom""]}, ""outerArcs"": [{""id"": ""rxciaiduvs"", ""name"": {""text"": ""UX-UI"", ""hidden"": true}, ""contents"": [""piscine-ux"", ""piscine-ui"", ""a-table"", ""get-a-room"", ""lets-do-some-sports"", ""lets-fair-trade""]}, {""id"": ""hqfp699ikfs"", ""name"": {""text"": ""Outer arc #2"", ""hidden"": true}, ""contents"": [""stock-exchange-sim"", ""mister-quiz"", ""shop"", ""netfix""]}], ""entryPoint"": ""piscine-js""}, {""id"": ""g1f56urqccn"", ""name"": {""text"": ""Architecture"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""slqbjjsyyoq"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [""smart-road"", ""filler"", ""rt"", ""localhost"", ""multiplayer-fps"", {""0-shell"": [""job-control"", ""scripting""]}]}, ""outerArcs"": [{""id"": ""f3yyav84ej"", ""name"": {""text"": ""Outer arc #1"", ""hidden"": true}, ""contents"": [""wget"", ""system-monitor"", ""zappy"", ""corewar"", ""make-your-own""]}], ""entryPoint"": ""piscine-rust""}, {""id"": ""ve8asf9u0ih"", ""name"": {""text"": ""Algorithm"", ""hidden"": false}, ""type"": ""line"", ""contents"": [""math-skills"", ""guess-it-1"", ""linear-stats"", ""guess-it-2""]}], ""outerCircle"": [], ""centralPoint"": ""checkpoint"", ""middleCircle"": [{""id"": ""bkisf6vrxa"", ""name"": {""text"": ""Java Full-Stack"", ""hidden"": false}, ""contents"": [""piscine-java"", ""lets-play"", ""angul-it"", ""buy-01"", ""mr-jenk"", ""safe-zone"", ""buy-02"", ""nexus"", ""neo-4-flix"", ""travel-plan"", ""lets-travel""]}, {""id"": ""zxc9eh4sva"", ""name"": {""text"": ""Video Games"", ""hidden"": false}, ""contents"": [""firing-range"", ""widget-factory"", ""army-of-one"", ""zombie-ai"", ""nascar-online-alpha"", ""mouse-vr"", ""the-pages"", ""stealth-boom"", ""jumpo"", ""vehicle-physics""]}, {""id"": ""u15suwaddxp"", ""name"": {""text"": ""Mobile Applications"", ""hidden"": false}, ""contents"": [""piscine-flutter"", ""twenty-forty-eight"", ""sky-map"", ""chess"", ""kaquiz"", ""stock-market"", ""secure-messenger""]}, {""id"": ""tm14n4lgu3"", ""name"": {""text"": ""Cybersecurity"", ""hidden"": false}, ""contents"": [""passive"", ""inspector-image"", ""active"", ""local"", ""web-hack"", ""injector"", ""hole-in-bin"", ""mal-track"", ""evasion"", ""obfuscator"", ""malware""]}, {""id"": ""9e105qpgva"", ""name"": {""text"": ""Blockchain & Crypto"", ""hidden"": false}, ""contents"": [""piscine-blockchain"", ""nft-marketplace"", ""payment-channel"", ""node-dashboard"", ""financial-instruments""]}, {""id"": ""p2znr4k8tpa"", ""name"": {""text"": ""Cloud DevOps"", ""hidden"": false}, ""contents"": [""deep-in-net"", ""deep-in-system"", ""crud-master"", ""play-with-containers"", ""orchestrator"", ""cloud-design"", ""code-keeper"", ""piscine-js-2"", ""checkpoint01"", ""rattrapage-piscine-java-1-2"", ""piscine-java-rattrapage"", ""rattrapage-rust""]}, {""id"": ""j5k9ujfihi8"", ""name"": {""text"": ""Artificial Intelligence"", ""hidden"": false}, ""contents"": [""piscine-ai"", ""kaggle-titanic"", ""nlp-scraper"", ""emotions-detector"", ""sp500-strategies"", ""credit-scoring""]}]}",Div 01
1,100256,2023-09,dakar,"{""innerCircle"": [{""id"": ""46rz6mm83oy"", ""name"": {""text"": ""Imperative"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""9pxhnev6irl"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [""go-reloaded"", {""ascii-art"": [""color"", ""output"", ""fs"", ""justify"", ""reverse""]}, {""ascii-art-web"": [""stylize"", ""dockerize"", ""exportfile""]}, {""groupie-tracker"": [""filters"", ""geolocalization"", ""visualizations"", ""search-bar""]}, ""lem-in"", {""forum"": [""authentication"", ""image-upload"", ""security"", ""moderation"", ""advanced-features""]}]}, ""outerArcs"": [{""id"": ""5kru6blne3y"", ""name"": {""text"": ""Outer arc #1"", ""hidden"": true}, ""contents"": [""git"", ""tetris-optimizer"", ""atm-management-system"", ""push-swap"", ""my-ls-1"", ""net-cat""]}]}, {""id"": ""w0feu5prgf"", ""name"": {""text"": ""AdminSys"", ""hidden"": false}, ""type"": ""line"", ""contents"": [""linux"", ""login"", ""add-vm"", ""connect"", ""remote"", ""scan""]}, {""id"": ""0x46yj76exeg"", ""name"": {""text"": ""Full-Stack"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""hgigmuhmj1v"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [{""make-your-game"": [""score-handling"", ""history"", ""different-maps""]}, {""real-time-forum"": [""typing-in-progress""]}, ""graphql"", {""social-network"": [""cross-platform-appimage""]}, ""mini-framework"", ""bomberman-dom""]}, ""outerArcs"": [{""id"": ""rxciaiduvs"", ""name"": {""text"": ""UX-UI"", ""hidden"": true}, ""contents"": [""piscine-ux"", ""piscine-ui"", ""a-table"", ""get-a-room"", ""lets-do-some-sports"", ""lets-fair-trade""]}, {""id"": ""hqfp699ikfs"", ""name"": {""text"": ""Outer arc #2"", ""hidden"": true}, ""contents"": [""stock-exchange-sim"", ""mister-quiz"", ""shop"", ""netfix""]}], ""entryPoint"": ""piscine-js""}, {""id"": ""g1f56urqccn"", ""name"": {""text"": ""Architecture"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""slqbjjsyyoq"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [""smart-road"", ""filler"", ""rt"", ""localhost"", ""multiplayer-fps"", {""0-shell"": [""job-control"", ""scripting""]}]}, ""outerArcs"": [{""id"": ""f3yyav84ej"", ""name"": {""text"": ""Outer arc #1"", ""hidden"": true}, ""contents"": [""wget"", ""system-monitor"", ""zappy"", ""corewar"", ""make-your-own""]}], ""entryPoint"": ""piscine-rust""}, {""id"": ""ve8asf9u0ih"", ""name"": {""text"": ""Algorithm"", ""hidden"": false}, ""type"": ""line"", ""contents"": [""math-skills"", ""guess-it-1"", ""linear-stats"", ""guess-it-2""]}], ""outerCircle"": [], ""centralPoint"": ""checkpoint"", ""middleCircle"": [{""id"": ""bkisf6vrxa"", ""name"": {""text"": ""Java Full-Stack"", ""hidden"": false}, ""contents"": [""piscine-java"", ""lets-play"", ""angul-it"", ""buy-01"", ""mr-jenk"", ""safe-zone"", ""buy-02"", ""nexus"", ""neo-4-flix"", ""travel-plan"", ""lets-travel""]}, {""id"": ""zxc9eh4sva"", ""name"": {""text"": ""Video Games"", ""hidden"": false}, ""contents"": [""firing-range"", ""widget-factory"", ""army-of-one"", ""zombie-ai"", ""nascar-online-alpha"", ""mouse-vr"", ""the-pages"", ""stealth-boom"", ""jumpo"", ""vehicle-physics""]}, {""id"": ""u15suwaddxp"", ""name"": {""text"": ""Mobile Applications"", ""hidden"": false}, ""contents"": [""piscine-flutter"", ""twenty-forty-eight"", ""sky-map"", ""chess"", ""kaquiz"", ""stock-market"", ""secure-messenger""]}, {""id"": ""tm14n4lgu3"", ""name"": {""text"": ""Cybersecurity"", ""hidden"": false}, ""contents"": [""passive"", ""inspector-image"", ""active"", ""local"", ""web-hack"", ""injector"", ""hole-in-bin"", ""mal-track"", ""evasion"", ""obfuscator"", ""malware""]}, {""id"": ""9e105qpgva"", ""name"": {""text"": ""Blockchain & Crypto"", ""hidden"": false}, ""contents"": [""piscine-blockchain"", ""nft-marketplace"", ""payment-channel"", ""node-dashboard"", ""financial-instruments""]}, {""id"": ""p2znr4k8tpa"", ""name"": {""text"": ""Cloud DevOps"", ""hidden"": false}, ""contents"": [""deep-in-net"", ""deep-in-system"", ""crud-master"", ""play-with-containers"", ""orchestrator"", ""cloud-design"", ""code-keeper"", ""piscine-js-2"", ""checkpoint01"", ""rattrapage-piscine-java-1-2"", ""piscine-java-rattrapage"", ""rattrapage-rust""]}, {""id"": ""j5k9ujfihi8"", ""name"": {""text"": ""Artificial Intelligence"", ""hidden"": false}, ""contents"": [""piscine-ai"", ""kaggle-titanic"", ""nlp-scraper"", ""emotions-detector"", ""sp500-strategies"", ""credit-scoring""]}]}",Div 01
2,100256,2023-11,dakar,"{""innerCircle"": [{""id"": ""46rz6mm83oy"", ""name"": {""text"": ""Imperative"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""9pxhnev6irl"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [""go-reloaded"", {""ascii-art"": [""color"", ""output"", ""fs"", ""justify"", ""reverse""]}, {""ascii-art-web"": [""stylize"", ""dockerize"", ""exportfile""]}, {""groupie-tracker"": [""filters"", ""geolocalization"", ""visualizations"", ""search-bar""]}, ""lem-in"", {""forum"": [""authentication"", ""image-upload"", ""security"", ""moderation"", ""advanced-features""]}]}, ""outerArcs"": [{""id"": ""5kru6blne3y"", ""name"": {""text"": ""Outer arc #1"", ""hidden"": true}, ""contents"": [""git"", ""tetris-optimizer"", ""atm-management-system"", ""push-swap"", ""my-ls-1"", ""net-cat""]}]}, {""id"": ""w0feu5prgf"", ""name"": {""text"": ""AdminSys"", ""hidden"": false}, ""type"": ""line"", ""contents"": [""linux"", ""login"", ""add-vm"", ""connect"", ""remote"", ""scan""]}, {""id"": ""0x46yj76exeg"", ""name"": {""text"": ""Full-Stack"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""hgigmuhmj1v"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [{""make-your-game"": [""score-handling"", ""history"", ""different-maps""]}, {""real-time-forum"": [""typing-in-progress""]}, ""graphql"", {""social-network"": [""cross-platform-appimage""]}, ""mini-framework"", ""bomberman-dom""]}, ""outerArcs"": [{""id"": ""rxciaiduvs"", ""name"": {""text"": ""UX-UI"", ""hidden"": true}, ""contents"": [""piscine-ux"", ""piscine-ui"", ""a-table"", ""get-a-room"", ""lets-do-some-sports"", ""lets-fair-trade""]}, {""id"": ""hqfp699ikfs"", ""name"": {""text"": ""Outer arc #2"", ""hidden"": true}, ""contents"": [""stock-exchange-sim"", ""mister-quiz"", ""shop"", ""netfix""]}], ""entryPoint"": ""piscine-js""}, {""id"": ""g1f56urqccn"", ""name"": {""text"": ""Architecture"", ""hidden"": false}, ""type"": ""slice"", ""innerArc"": {""id"": ""slqbjjsyyoq"", ""name"": {""text"": ""Inner arc"", ""hidden"": true}, ""contents"": [""smart-road"", ""filler"", ""rt"", ""localhost"", ""multiplayer-fps"", {""0-shell"": [""job-control"", ""scripting""]}]}, ""outerArcs"": [{""id"": ""f3yyav84ej"", ""name"": {""text"": ""Outer arc #1"", ""hidden"": true}, ""contents"": [""wget"", ""system-monitor"", ""zappy"", ""corewar"", ""make-your-own""]}], ""entryPoint"": ""piscine-rust""}, {""id"": ""ve8asf9u0ih"", ""name"": {""text"": ""Algorithm"", ""hidden"": false}, ""type"": ""line"", ""contents"": [""math-skills"", ""guess-it-1"", ""linear-stats"", ""guess-it-2""]}], ""outerCircle"": [], ""centralPoint"": ""checkpoint"", ""middleCircle"": [{""id"": ""bkisf6vrxa"", ""name"": {""text"": ""Java Full-Stack"", ""hidden"": false}, ""contents"": [""piscine-java"", ""lets-play"", ""angul-it"", ""buy-01"", ""mr-jenk"", ""safe-zone"", ""buy-02"", ""nexus"", ""neo-4-flix"", ""travel-plan"", ""lets-travel""]}, {""id"": ""zxc9eh4sva"", ""name"": {""text"": ""Video Games"", ""hidden"": false}, ""contents"": [""firing-range"", ""widget-factory"", ""army-of-one"", ""zombie-ai"", ""nascar-online-alpha"", ""mouse-vr"", ""the-pages"", ""stealth-boom"", ""jumpo"", ""vehicle-physics""]}, {""id"": ""u15suwaddxp"", ""name"": {""text"": ""Mobile Applications"", ""hidden"": false}, ""contents"": [""piscine-flutter"", ""twenty-forty-eight"", ""sky-map"", ""chess"", ""kaquiz"", ""stock-market"", ""secure-messenger""]}, {""id"": ""tm14n4lgu3"", ""name"": {""text"": ""Cybersecurity"", ""hidden"": false}, ""contents"": [""passive"", ""inspector-image"", ""active"", ""local"", ""web-hack"", ""injector"", ""hole-in-bin"", ""mal-track"", ""evasion"", ""obfuscator"", ""malware""]}, {""id"": ""9e105qpgva"", ""name"": {""text"": ""Blockchain & Crypto"", ""hidden"": false}, ""contents"": [""piscine-blockchain"", ""nft-marketplace"", ""payment-channel"", ""node-dashboard"", ""financial-instruments""]}, {""id"": ""p2znr4k8tpa"", ""name"": {""text"": ""Cloud DevOps"", ""hidden"": false}, ""contents"": [""deep-in-net"", ""deep-in-system"", ""crud-master"", ""play-with-containers"", ""orchestrator"", ""cloud-design"", ""code-keeper"", ""piscine-js-2"", ""checkpoint01"", ""rattrapage-piscine-java-1-2"", ""piscine-java-rattrapage"", ""rattrapage-rust""]}, {""id"": ""j5k9ujfihi8"", ""name"": {""text"": ""Artificial Intelligence"", ""hidden"": false}, ""contents"": [""piscine-ai"", ""kaggle-titanic"", ""nlp-scraper"", ""emotions-detector"", ""sp500-strategies"", ""credit-scoring""]}]}",Div 01
